Category	Table Name	Table Label	Column Name	Column Label	Description
sacatalog	sacatalog	Survey Area Catalog	areasymbol	Area symbol	A symbol that uniquely identifies a single occurrence of a particular type of area (e.g. Lancaster Co., Nebraska is NE109).
			areaname	Area name	The name given to the specified geographic area.
			saverest	Survey Area Version Established	The date and time that a particular version of data for the soil survey area was established.
			mbrminx	Minimum Bounding Rectangle Minimum X	The minimum X coordinate for a soil survey area's minimum bounding rectangle, expressed in decimal degrees west or east of the prime meridian. Minimum corresponds to the southwest corner of the bounding rectangle.
			mbrminy	Minimum Bounding Rectangle Minimum Y	The minimum Y coordinate for a soil survey area's minimum bounding rectangle, expressed in decimal degress north or south of the equator. Minimum corresponds to the southwest corner of the bounding rectangle.
			mbrmaxx	Minimum Bounding Rectangle Maximum X	The maximum X coordinate for a soil survey area's minimum bounding rectangle, expressed in decimal degrees west or east of the prime meridian. Maximum corresponds to the northest corner of the bounding rectangle.
			mbrmaxy	Minimum Bounding Rectangle Maximum Y	The maximum Y coordinate for a soil survey area's minimum bounding rectangle, expressed in decimal degress north or south of the equator. Maximum corresponds to the northest corner of the bounding rectangle.
legend	legend	Legend	areasymbol	Area symbol	A symbol that uniquely identifies a single occurrence of a particular type of area (e.g. Lancaster Co., Nebraska is NE109).
			areaacres	Area acres	The acreage total of all land and water areas in the specified geographic area.
			projectscale	Project scale	The map scale in which the final map products will be published, expressed as the denominator of the scale, i.e. 24000 = 1:24000.
			lkey	Legend key	A non-connotative string of characters used to uniquely identify a record in the Legend table.
mapunit	mapunit	Mapunit	lkey	Legend key	A non-connotative string of characters used to uniquely identify a record in the Legend table.
			musym	Mapunit symbol	The symbol used to uniquely identify the soil 1 mapunit in the soil survey.
			muname	Mapunit name	Correlated name of the mapunit.
			mukind	Mapunit kind	Code identifying the kind of mapunit.
			muacres	Total acres	The number of acres of a particular mapunit.
			farmlndcl	Farm class	Identification of map units as prime farmland, farmland of statewide importance, or farmland of local importance.
			iacornsr	IA CSR	Corn Suitability Rating (CSR) is an index procedure developed in Iowa to rate each different kind of soil for its row-crop productivity.
			mukey	Mapunit key	A non-connotative string of characters used to uniquely identify a record in the Mapunit table.
component	component	Component	mukey	Mapunit key	A non-connotative string of characters used to uniquely identify a record in the Mapunit table.
			comppct_l	Component % [low]	The percentage of the component of the mapunit.
			comppct_r	Component % [representative]	The percentage of the component of the mapunit.
			comppct_h	Component % [high]	The percentage of the component of the mapunit.
			compname	Component name	Name assigned to a component based on its range of properties.
			compkind	Component kind	Identifies the kind of component of the mapunit. Examples are series and miscellaneous areas.
			majcompflag	Major component	Indicates whether or not a component is a major component in the mapunit.
			slope_l	Slope gradient [low]	The difference in elevation between two points, expressed as a percentage of the distance between those points. (SSM)
			slope_r	Slope gradient [representative]	The difference in elevation between two points, expressed as a percentage of the distance between those points. (SSM)
			slope_h	Slope gradient [high]	The difference in elevation between two points, expressed as a percentage of the distance between those points. (SSM)
			slopelenusle_l	Slope length USLE [low]	The distance from the point of origin of overland flow to the point where either the slope gradient decreases enough that deposition begins, or the runoff water enters a well-defined channel that may be part of a drainage network or a constructed channel. (Predicting Rainfall Erosion Losses a Guide to Conservation Planning, Agr. Handbook #537, USDA, 1978).
			slopelenusle_r	Slope length USLE [representative]	
			slopelenusle_h	Slope length USLE [high]	
			runoff	Runoff class	Runoff potential class for the soil.
			erocl	Erosion class	Class of accelerated erosion. (SSM)
			hydricrating	Hydric rating	A yes/no field that indicates whether or not a map unit component is classified as a "hydric soil". 
			hydricon	Hydric condition	Natural condition of the soil component.
			drainagecl	Drainage class	Identifies the natural drainage conditions of the soil and refers to the frequency and duration of wet periods.
			elev_l	Elevation [low]	The vertical distance from mean sea level to a point on the earth's surface.
			elev_r	Elevation [representative]	The vertical distance from mean sea level to a point on the earth's surface.
			elev_h	Elevation [high]	The vertical distance from mean sea level to a point on the earth's surface.
			geomdesc	Geomorphic Description	A narrative description of the geomorphic setting of a component. The description may incorporate multiple geomorphic features as well as their relationship to each other. The individual parts of the description are recorded in the Component Geomorphic Description table.
			map_l	MAP [low]	The arithmetic average of the total annual (liquid) precipitation taken over the standard "normal" period, 1961-1990.
			map_r	MAP [representative]	The arithmetic average of the total annual (liquid) precipitation taken over the standard "normal" period, 1961-1990.
			map_h	MAP [annual]	The arithmetic average of the total annual (liquid) precipitation taken over the standard "normal" period, 1961-1990.
			ffd_l	Frost free days [low]	The expected number of days between the last freezing temperature (0 degrees Celsius) in spring (Jan-Jul) and the first freezing temperature (0 degrees Celsius) in the fall (Aug-Dec). The number of days is based on the probability that the values for the standard "normal" period of 1961 to 1990 will be exceeded in 5 years out of 10.
			ffd_r	Frost free days [representative]	
			ffd_h	Frost free days [high]	
			frostact	Frost action	An interpretation rating of the susceptibility of the soil to frost heaving.
			hydgrp	Hydrologic group	A group of soils having similar runoff potential under similar storm and cover conditions. Examples are A and A/D. (NSSH)
			taxclname	Taxonomic class	A concatenation of the Soil Taxonomy subgroup and family for a soil (long name)
			taxorder	Order	The highest level in Soil Taxonomy.
			taxsuborder	Suborder	The second level of Soil Taxonomy. The suborder is below the order and above the great group.
			taxgrtgroup	Great group	The third level of Soil Taxonomy. The category is below the suborder and above the subgroup.
			taxsubgrp	Subgroup	The fourth level of Soil Taxonomy. The subgroup is below great group and above family.
			taxpartsize	Particle size	Particle-size classes are used as family differentiae. Particle-size refers to grain-size distribution of the whole soil and is not the same as texture. (Soil Taxonomy).
			taxpartsizemod	Particle size mod	Taxonomic family criteria that is used to indicate the presence of more than two strongly contrasting classes in the particle size control section. (Soil Taxonomy)
			taxceactcl	CEC Activity Cl	Cation exchange activity classes are used as family criteria differentiae. It is the relative cation exchange (CEC) activity level of the soil based on the CEC to clay ratio. (Soil Taxonomy)
			taxreaction	Reaction	Indicates the presence or absence of carbonates and the reaction. They are treated together because of their intimate relationship, and are used to indicate family differentiae. (Soil Taxonomy)
